                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     38,                0.89083,                 1.1627,                0.43173,                 1.1665,                0.99808,                0.99726,                  0.995,                0.79321,                0.74884,                0.74795,                0.67388,                0.24528,                  0.875,                0.83309,                 0.3413,                  1.372,              0.0005744,              0.0005744,              0.0005744
                     39,                0.85521,                 1.1204,                0.42249,                 1.1334,                 0.9993,                      1,                  0.995,                0.78621,                0.75835,                 0.7589,                0.62799,                0.20962,                 0.8411,                0.80633,                0.32321,                 1.3757,              0.0005348,              0.0005348,              0.0005348
                     40,                0.86704,                 1.1312,                0.41556,                 1.1514,                0.99948,                      1,                  0.995,                0.77488,                0.76946,                0.76986,                0.66931,                0.22413,                0.89736,                0.81651,                 0.3237,                 1.4352,              0.0004952,              0.0004952,              0.0004952
                     41,                 0.7944,                0.80575,                0.33482,                 1.2299,                0.99646,                      1,                0.99473,                0.79947,                0.74472,                0.74795,                0.65228,                0.22574,                0.83577,                0.82397,                0.33027,                 1.3498,              0.0004556,              0.0004556,              0.0004556
                     42,                0.77471,                0.79767,                0.31994,                 1.2037,                0.99382,                0.99726,                0.99497,                0.81362,                0.75626,                 0.7589,                 0.7147,                0.26165,                 0.8479,                0.83145,                0.31772,                 1.3833,               0.000416,               0.000416,               0.000416
                     43,                   0.77,                0.79129,                0.32102,                 1.2107,                0.99585,                0.99726,                0.99492,                0.81072,                0.75541,                0.75616,                0.69212,                0.25063,                0.84722,                0.81376,                0.33226,                 1.3709,              0.0003764,              0.0003764,              0.0003764
                     44,                0.76764,                0.79146,                0.32029,                  1.187,                 0.9992,                      1,                  0.995,                0.82606,                0.77197,                 0.7726,                0.73648,                0.28699,                0.83093,                0.81901,                0.31184,                 1.3241,              0.0003368,              0.0003368,              0.0003368
                     45,                0.74117,                0.78154,                0.30568,                 1.1826,                 0.9974,                0.99726,                  0.995,                0.82724,                0.77403,                 0.7726,                0.71172,                0.26951,                0.81061,                0.80726,                0.31047,                 1.3177,              0.0002972,              0.0002972,              0.0002972
                     46,                 0.7314,                0.77951,                0.30186,                   1.17,                0.99726,                0.99726,                  0.995,                0.82984,                 0.7474,                0.74795,                0.68789,                0.25208,                0.79447,                0.80152,                0.30439,                 1.3131,              0.0002576,              0.0002576,              0.0002576
                     47,                0.71889,                0.78183,                0.29351,                 1.1622,                0.99694,                      1,                  0.995,                0.82466,                0.75501,                0.75342,                0.70216,                0.26323,                0.80176,                0.82673,                0.29586,                 1.3268,               0.000218,               0.000218,               0.000218
                     48,                0.70315,                0.77325,                0.29431,                 1.1609,                0.99909,                      1,                  0.995,                0.83613,                0.76919,                0.76694,                0.71832,                0.27121,                0.78873,                0.80638,                0.30132,                 1.3179,              0.0001784,              0.0001784,              0.0001784
                     49,                0.68638,                0.76453,                0.28404,                 1.1389,                      1,                0.99689,                  0.995,                0.83551,                0.76644,                0.76422,                0.70485,                 0.2696,                0.76544,                0.79697,                0.29123,                  1.288,              0.0001388,              0.0001388,              0.0001388
                     50,                0.68029,                0.75941,                0.27844,                   1.14,                0.99863,                0.99726,                  0.995,                0.83861,                0.77502,                0.77534,                0.72546,                 0.2749,                0.76826,                0.79046,                0.28697,                 1.2993,               9.92e-05,               9.92e-05,               9.92e-05
